Id,Category
0,2
1,10
2,10
3,9
4,5
5,3
6,9
7,10
8,10
9,2
10,4
11,0
12,4
13,10
14,8
15,4
16,9
17,10
18,5
19,9
20,3
21,10
22,3
23,3
24,1
25,3
26,10
27,4
28,9
29,8
30,5
31,9
32,10
33,10
34,2
35,9
36,8
37,10
38,10
39,2
40,7
41,1
42,2
43,10
44,10
45,1
46,10
47,3
48,0
49,9
50,10
51,1
52,8
53,8
54,0
55,8
56,5
57,9
58,7
59,4
60,5
61,8
62,3
63,3
64,10
65,8
66,1
67,9
68,4
69,10
70,5
71,5
72,5
73,8
74,9
75,7
76,4
77,0
78,8
79,9
80,4
81,1
82,9
83,8
84,6
85,8
86,10
87,4
88,10
89,9
90,8
91,4
92,4
93,9
94,5
95,6
96,1
97,2
98,9
99,10
100,2
101,10
102,8
103,2
104,4
105,1
106,6
107,5
108,9
109,10
110,5
111,5
112,4
113,3
114,9
115,4
116,9
117,9
118,9
119,2
120,8
121,5
122,0
123,5
124,10
125,8
126,5
127,8
128,10
129,9
130,10
131,3
132,10
133,0
134,1
135,2
136,3
137,10
138,3
139,0
140,10
141,10
142,10
143,5
144,1
145,10
146,9
147,8
148,10
149,8
150,5
151,10
152,9
153,10
154,10
155,1
156,9
157,2
158,8
159,4
160,5
161,9
162,5
163,5
164,9
165,10
166,8
167,8
168,3
169,9
170,8
171,2
172,4
173,4
174,1
175,8
176,9
177,10
178,8
179,4
180,1
181,8
182,9
183,9
184,10
185,9
186,10
187,4
188,2
189,4
190,0
191,10
192,2
193,3
194,10
195,5
196,8
197,9
198,2
199,4
200,9
201,2
202,8
203,9
204,4
205,4
206,10
207,9
208,10
209,4
210,10
211,5
212,10
213,10
214,2
215,8
216,10
217,1
218,9
219,4
220,8
221,8
222,2
223,7
224,5
225,5
226,9
227,9
228,7
229,3
230,10
231,2
232,7
233,1
234,10
235,9
236,4
237,10
238,10
239,9
240,5
241,3
242,8
243,4
244,10
245,10
246,4
247,9
248,10
249,4
250,9
251,3
252,10
253,2
254,5
255,0
256,2
257,9
258,10
259,10
260,10
261,8
262,10
263,10
264,4
265,9
266,1
267,3
268,1
269,9
270,4
271,3
272,10
273,10
274,5
275,10
276,9
277,10
278,5
279,4
280,9
281,9
282,2
283,8
284,10
285,0
286,2
287,4
288,1
289,10
290,9
291,4
292,8
293,8
294,2
295,2
296,7
297,4
298,8
299,5
300,8
301,9
302,10
303,1
304,8
305,10
306,10
307,8
308,9
309,3
310,1
311,3
312,1
313,8
314,9
315,4
316,7
317,4
318,5
319,9
320,3
321,2
322,5
323,10
324,4
325,2
326,5
327,6
328,10
329,4
330,3
331,0
332,8
333,9
334,4
335,2
336,3
337,1
338,5
339,10
340,9
341,6
342,5
343,3
344,0
345,5
346,10
347,6
348,4
349,9
350,10
351,10
352,6
353,2
354,7
355,1
356,4
357,10
358,10
359,4
360,4
361,5
362,10
363,5
364,8
365,5
366,4
367,10
368,2
369,0
370,9
371,4
372,2
373,4
374,0
375,9
376,9
377,9
378,10
379,5
380,10
381,6
382,3
383,9
384,10
385,3
386,4
387,10
388,10
389,8
390,5
391,1
392,10
393,8
394,9
395,10
396,8
397,8
398,9
399,9
400,9
401,4
402,9
403,9
404,10
405,3
406,10
407,5
408,5
409,4
410,9
411,7
412,3
413,7
414,3
415,7
416,4
417,4
418,9
419,8
420,5
421,2
422,2
423,10
424,3
425,8
426,6
427,9
428,9
429,9
430,5
431,2
432,10
433,8
434,3
435,2
436,8
437,10
438,4
439,9
440,10
441,4
442,2
443,10
444,2
445,3
446,0
447,10
448,0
449,2
450,4
451,9
452,0
453,9
454,6
455,6
456,5
457,8
458,8
459,10
460,10
461,9
462,10
463,10
464,1
465,10
466,7
467,1
468,2
469,0
470,5
471,10
472,8
473,8
474,9
475,5
476,7
477,2
478,10
479,10
480,9
481,4
482,3
483,1
484,10
485,0
486,9
487,9
488,5
489,9
490,8
491,10
492,7
493,8
494,2
495,2
496,8
497,10
498,9
499,10
500,9
501,1
502,5
503,1
504,4
